,site_id,visit_month,syringes_returned,syringes_dispensed,no_exchanging_for
118,11.0,2019-04-01,2155.0,2260.0,15.0
119,11.0,2019-05-01,5480.0,6100.0,32.0
120,11.0,2019-06-01,3535.0,3685.0,33.0
121,11.0,2019-08-01,4260.0,4350.0,25.0
122,11.0,2019-09-01,5060.0,6020.0,44.0
123,11.0,2019-10-01,5625.0,7600.0,60.0
124,11.0,2019-11-01,4215.0,5490.0,30.0
125,11.0,2019-12-01,6340.0,7190.0,29.0
126,12.0,2019-12-01,64480.0,78060.0,884.0
127,13.0,2019-12-01,0.0,7110.0,348.0
128,17.0,2019-12-01,0.0,2375.0,48.0
129,18.0,2019-12-01,27150.0,14070.0,23.0
130,22.0,2019-12-01,0.0,400.0,4.0
131,99.0,2019-01-01,1850.0,0.0,7.0
132,99.0,2019-02-01,2650.0,0.0,10.0
133,99.0,2019-03-01,2100.0,0.0,4.0
134,99.0,2019-04-01,2924.0,600.0,29.0
135,99.0,2019-05-01,14287.0,2100.0,18.0
136,99.0,2019-06-01,670.0,0.0,10.0
137,99.0,2019-08-01,9560.0,17795.0,150.0
138,99.0,2019-09-01,39350.0,36720.0,66.0
139,99.0,2019-10-01,2260.0,21570.0,55.0
140,99.0,2019-12-01,30.0,5000.0,2.0
141,,2019-01-01,1540.0,1610.0,6.0
